file,status,time_taken,max_memory_mb,timed_out,exit_reason,last_err_line,problem_name,verified,theorem_size
AndOrXor_2052_values_0.bwlang,SUCCESS,0.002596119,4.375,False,,"[2026-04-27T18:17:20Z INFO  parabit] Iteration 4: 150 nodes, 54 classes",AndOrXor_2052_values_0,,
AndOrXor_2587_values_0.bwlang,SUCCESS,0.008910191,6.14453125,False,,"[2026-04-27T18:17:21Z INFO  parabit] Iteration 5: 963 nodes, 114 classes",AndOrXor_2587_values_0,,
AndOrXor_2118_values_0.bwlang,SUCCESS,0.00792908,6.19140625,False,,"[2026-04-27T18:17:21Z INFO  parabit] Iteration 5: 643 nodes, 76 classes",AndOrXor_2118_values_0,,
AndOrXor_2123_values_0.bwlang,SUCCESS,0.008006567,6.26171875,False,,"[2026-04-27T18:17:22Z INFO  parabit] Iteration 5: 938 nodes, 155 classes",AndOrXor_2123_values_0,,
muldivrem_239_values_0.bwlang,SUCCESS,4.131050991,521.29296875,False,,"[2026-04-27T18:17:26Z INFO  parabit] Iteration 7: 96944 nodes, 22295 classes",muldivrem_239_values_0,,
AndOrXor_2429_values_0.bwlang,SUCCESS,0.001758557,4.5,False,,"[2026-04-27T18:17:27Z INFO  parabit] Iteration 2: 169 nodes, 35 classes",AndOrXor_2429_values_0,,
AddSub_1176_values_0.bwlang,SUCCESS,0.001727253,4.375,False,,"[2026-04-27T18:17:27Z INFO  parabit] Iteration 2: 137 nodes, 56 classes",AddSub_1176_values_0,,
AddSub_1619_values_0.bwlang,SUCCESS,0.007480121,6.59765625,False,,"[2026-04-27T18:17:28Z INFO  parabit] Iteration 5: 1379 nodes, 411 classes",AddSub_1619_values_0,,
AndOrXor_2188_values_0.bwlang,SUCCESS,0.008744883,6.265625,False,,"[2026-04-27T18:17:29Z INFO  parabit] Iteration 4: 846 nodes, 120 classes",AndOrXor_2188_values_0,,
Select_1105_values_0.bwlang,SUCCESS,0.000883885,4.125,False,,"[2026-04-27T18:17:29Z INFO  parabit] Iteration 0: 4 nodes, 4 classes",Select_1105_values_0,,
AndOrXor_2367_values_0.bwlang,SUCCESS,0.001042059,4.375,False,,"[2026-04-27T18:17:30Z INFO  parabit] Iteration 2: 75 nodes, 39 classes",AndOrXor_2367_values_0,,
AddSub_1614_values_0.bwlang,SUCCESS,0.096656118,29.81640625,False,,"[2026-04-27T18:17:31Z INFO  parabit] Iteration 7: 12566 nodes, 3071 classes",AddSub_1614_values_0,,
AddSub_1574_values_0.bwlang,SUCCESS,0.002027644,4.625,False,,"[2026-04-27T18:17:31Z INFO  parabit] Iteration 3: 386 nodes, 146 classes",AddSub_1574_values_0,,
AddSub_1202_values_0.bwlang,SUCCESS,0.006421173,5.65234375,False,,"[2026-04-27T18:17:32Z INFO  parabit] Iteration 4: 938 nodes, 207 classes",AddSub_1202_values_0,,
AndOrXor_1253_values_0.bwlang,SUCCESS,0.024428516,11.87109375,False,,"[2026-04-27T18:17:33Z INFO  parabit] Iteration 6: 3053 nodes, 317 classes",AndOrXor_1253_values_0,,
AndOrXor_2627_values_0.bwlang,FAILED,11.96,6547.6015625,False,memory,Command terminated by signal 6,AndOrXor_2627_values_0,,
AndOrXor_2243_values_0.bwlang,SUCCESS,0.004552589,4.75,False,,"[2026-04-27T18:17:33Z INFO  parabit] Iteration 7: 230 nodes, 71 classes",AndOrXor_2243_values_0,,
AndOrXor_2486_values_0.bwlang,SUCCESS,0.006532648,5.28125,False,,"[2026-04-27T18:17:34Z INFO  parabit] Iteration 4: 689 nodes, 189 classes",AndOrXor_2486_values_0,,
AndOrXor_2658_values_0.bwlang,SUCCESS,0.012841381,7.01953125,False,,"[2026-04-27T18:17:34Z INFO  parabit] Iteration 4: 1442 nodes, 165 classes",AndOrXor_2658_values_0,,
AndOrXor_2063_values_0.bwlang,SUCCESS,0.025279336,10.56640625,False,,"[2026-04-27T18:17:35Z INFO  parabit] Iteration 7: 4869 nodes, 1104 classes",AndOrXor_2063_values_0,,
AndOrXor_135_values_0.bwlang,SUCCESS,0.013051493,6.43359375,False,,"[2026-04-27T18:17:35Z INFO  parabit] Iteration 6: 1834 nodes, 328 classes",AndOrXor_135_values_0,,
AndOrXor_2284_values_0.bwlang,SUCCESS,0.015029084,8.5234375,False,,"[2026-04-27T18:17:36Z INFO  parabit] Iteration 5: 1907 nodes, 177 classes",AndOrXor_2284_values_0,,
AndOrXor_1247_values_0.bwlang,SUCCESS,0.002464221,4.625,False,,"[2026-04-27T18:17:37Z INFO  parabit] Iteration 3: 231 nodes, 59 classes",AndOrXor_1247_values_0,,
AndOrXor_2581_values_0.bwlang,SUCCESS,0.004068415,5.2421875,False,,"[2026-04-27T18:17:37Z INFO  parabit] Iteration 4: 535 nodes, 78 classes",AndOrXor_2581_values_0,,
AndOrXor_1230_values_0.bwlang,SUCCESS,0.001382806,4.5,False,,"[2026-04-27T18:17:37Z INFO  parabit] Iteration 2: 173 nodes, 35 classes",AndOrXor_1230_values_0,,
AndOrXor_2475_values_0.bwlang,SUCCESS,18.349658198,1665.62109375,False,,"[2026-04-27T18:17:56Z INFO  parabit] Iteration 8: 72483 nodes, 16615 classes",AndOrXor_2475_values_0,,
AddSub_1564_values_0.bwlang,SUCCESS,0.005443664,5.7734375,False,,"[2026-04-27T18:17:58Z INFO  parabit] Iteration 4: 887 nodes, 259 classes",AddSub_1564_values_0,,
AndOrXor_1294_values_0.bwlang,SUCCESS,0.030744477,13.109375,False,,"[2026-04-27T18:17:59Z INFO  parabit] Iteration 6: 4556 nodes, 459 classes",AndOrXor_1294_values_0,,
AndOrXor_2263_values_0.bwlang,SUCCESS,0.034844532,12.3359375,False,,"[2026-04-27T18:18:00Z INFO  parabit] Iteration 10: 4751 nodes, 606 classes",AndOrXor_2263_values_0,,
AndOrXor_2617_values_0.bwlang,SUCCESS,0.010753393,6.41015625,False,,"[2026-04-27T18:18:01Z INFO  parabit] Iteration 4: 1087 nodes, 141 classes",AndOrXor_2617_values_0,,
AddSub_1043_values_0.bwlang,SUCCESS,0.145684333,38.37890625,False,,"[2026-04-27T18:18:03Z INFO  parabit] Iteration 6: 10972 nodes, 2370 classes",AddSub_1043_values_0,,
AndOrXor_2416_values_0.bwlang,SUCCESS,0.001806496,4.5,False,,"[2026-04-27T18:18:03Z INFO  parabit] Iteration 2: 175 nodes, 35 classes",AndOrXor_2416_values_0,,
muldivrem_152_values_0.bwlang,SUCCESS,0.001404546,4.25,False,,"[2026-04-27T18:18:03Z INFO  parabit] Iteration 2: 64 nodes, 25 classes",muldivrem_152_values_0,,
AndOrXor_2285_values_0.bwlang,SUCCESS,0.033454836,12.17578125,False,,"[2026-04-27T18:18:04Z INFO  parabit] Iteration 5: 6631 nodes, 341 classes",AndOrXor_2285_values_0,,
AndOrXor_2247_values_0.bwlang,SUCCESS,0.001327689,4.375,False,,"[2026-04-27T18:18:04Z INFO  parabit] Iteration 2: 169 nodes, 35 classes",AndOrXor_2247_values_0,,
AddSub_1624_values_0.bwlang,SUCCESS,0.042552966,15.69921875,False,,"[2026-04-27T18:18:06Z INFO  parabit] Iteration 8: 6836 nodes, 1730 classes",AddSub_1624_values_0,,
AndOrXor_2417_values_0.bwlang,SUCCESS,0.001364048,4.25,False,,"[2026-04-27T18:18:06Z INFO  parabit] Iteration 2: 176 nodes, 35 classes",AndOrXor_2417_values_0,,
Select_1100_values_0.bwlang,SUCCESS,0.000645743,4.0,False,,"[2026-04-27T18:18:06Z INFO  parabit] Iteration 0: 4 nodes, 4 classes",Select_1100_values_0,,
AddSub_1165_values_0.bwlang,SUCCESS,0.002857698,4.86328125,False,,"[2026-04-27T18:18:06Z INFO  parabit] Iteration 3: 405 nodes, 151 classes",AddSub_1165_values_0,,
AndOrXor_2430_values_0.bwlang,SUCCESS,0.001640382,4.5,False,,"[2026-04-27T18:18:06Z INFO  parabit] Iteration 2: 173 nodes, 35 classes",AndOrXor_2430_values_0,,
AndOrXor_1388_values_0.bwlang,FAILED,1.78,738.7265625,False,crash,Command exited with non-zero status 101,AndOrXor_1388_values_0,,
AndOrXor_1288_values_0.bwlang,SUCCESS,5.016016145,506.6484375,False,,"[2026-04-27T18:18:13Z INFO  parabit] Iteration 7: 709712 nodes, 29122 classes",AndOrXor_1288_values_0,,
AndOrXor_1241_values_0.bwlang,SUCCESS,0.001965421,4.5,False,,"[2026-04-27T18:18:14Z INFO  parabit] Iteration 3: 231 nodes, 59 classes",AndOrXor_1241_values_0,,
AddSub_1098_values_0.bwlang,FAILED,15.28,7261.3984375,False,memory,Command terminated by signal 6,AddSub_1098_values_0,,
AndOrXor_1346b_values_0.bwlang,SUCCESS,0.001503326,4.25,False,,"[2026-04-27T18:18:30Z INFO  parabit] Iteration 4: 66 nodes, 31 classes",AndOrXor_1346b_values_0,,
AndOrXor_144_values_0.bwlang,SUCCESS,0.002258643,4.5,False,,"[2026-04-27T18:18:30Z INFO  parabit] Iteration 5: 145 nodes, 47 classes",AndOrXor_144_values_0,,
AddSub_1295_values_0.bwlang,SUCCESS,0.160087001,46.21484375,False,,"[2026-04-27T18:18:31Z INFO  parabit] Iteration 7: 21458 nodes, 1401 classes",AddSub_1295_values_0,,
AndOrXor_1346a_values_0.bwlang,FAILED,56.9,6938.3515625,False,memory,Command terminated by signal 6,AndOrXor_1346a_values_0,,
muldivrem_229_values_0.bwlang,SUCCESS,0.002581809,4.625,False,,"[2026-04-27T18:18:32Z INFO  parabit] Iteration 3: 273 nodes, 125 classes",muldivrem_229_values_0,,
AndOrXor_2264_values_0.bwlang,SUCCESS,0.086382696,25.72265625,True,,"[2026-04-27T18:18:32Z INFO  parabit] Iteration 6: 12447 nodes, 684 classes",AndOrXor_2264_values_0,,
AddSub_1560_values_0.bwlang,SUCCESS,0.000966256,4.375,False,,"[2026-04-27T18:18:33Z INFO  parabit] Iteration 2: 86 nodes, 25 classes",AddSub_1560_values_0,,
AndOrXor_2113_values_0.bwlang,SUCCESS,0.004291582,5.3203125,False,,"[2026-04-27T18:18:33Z INFO  parabit] Iteration 4: 354 nodes, 47 classes",AndOrXor_2113_values_0,,
AddSub_1539_2_values_0.bwlang,SUCCESS,0.001194375,4.125,False,,"[2026-04-27T18:18:33Z INFO  parabit] Iteration 2: 94 nodes, 51 classes",AddSub_1539_2_values_0,,
AndOrXor_2297_values_0.bwlang,SUCCESS,0.0088353,6.41015625,False,,"[2026-04-27T18:18:34Z INFO  parabit] Iteration 5: 950 nodes, 127 classes",AndOrXor_2297_values_0,,
AndOrXor_2647_values_0.bwlang,SUCCESS,0.09041111,29.4765625,False,,"[2026-04-27T18:18:34Z INFO  parabit] Iteration 7: 19951 nodes, 836 classes",AndOrXor_2647_values_0,,
AndOrXor_2265_values_0.bwlang,SUCCESS,0.023164605,9.5546875,False,,"[2026-04-27T18:18:36Z INFO  parabit] Iteration 9: 4217 nodes, 426 classes",AndOrXor_2265_values_0,,
AndOrXor_2607_values_0.bwlang,SUCCESS,0.033219062,12.62890625,False,,"[2026-04-27T18:18:37Z INFO  parabit] Iteration 5: 3766 nodes, 333 classes",AndOrXor_2607_values_0,,
AndOrXor_1207_values_0.bwlang,SUCCESS,0.021991792,9.5625,False,,"[2026-04-27T18:18:38Z INFO  parabit] Iteration 6: 1238 nodes, 141 classes",AndOrXor_1207_values_0,,
AddSub_1164_values_0.bwlang,SUCCESS,0.001069949,4.375,False,,"[2026-04-27T18:18:38Z INFO  parabit] Iteration 2: 119 nodes, 56 classes",AddSub_1164_values_0,,
AndOrXor_1280_values_0.bwlang,SUCCESS,0.003655063,5.125,False,,"[2026-04-27T18:18:38Z INFO  parabit] Iteration 4: 365 nodes, 57 classes",AndOrXor_1280_values_0,,
AndOrXor_2595_values_0.bwlang,SUCCESS,0.004065468,5.2109375,False,,"[2026-04-27T18:18:39Z INFO  parabit] Iteration 5: 749 nodes, 147 classes",AndOrXor_2595_values_0,,
AndOrXor_2231_values_0.bwlang,FAILED,60,4295.3125,True,timeout,Command exited with non-zero status 124,AndOrXor_2231_values_0,,
