file,status,time_taken,max_memory_mb,timed_out,exit_reason,last_err_line,problem_name,verified,theorem_size
opt_2840.bwlang,SUCCESS,0.001295413,4.5,False,,"[2026-04-27T18:19:34Z INFO  parabit] Iteration 2: 114 nodes, 56 classes",hydra_opt_2840,,
opt_1247.bwlang,SUCCESS,0.00078511,4.125,False,,"[2026-04-27T18:19:35Z INFO  parabit] Iteration 1: 8 nodes, 7 classes",hydra_opt_1247,,
opt_2895.bwlang,SUCCESS,0.000795178,4.375,False,,"[2026-04-27T18:19:35Z INFO  parabit] Iteration 1: 29 nodes, 17 classes",hydra_opt_2895,,
opt_288.bwlang,SUCCESS,0.002062067,4.625,False,,"[2026-04-27T18:19:35Z INFO  parabit] Iteration 4: 309 nodes, 50 classes",hydra_opt_288,,
opt_781.bwlang,FAILED,17.49,6933.75390625,False,memory,Command terminated by signal 6,hydra_opt_781,,
opt_1003.bwlang,SUCCESS,0.00136805,4.375,False,,"[2026-04-27T18:19:52Z INFO  parabit] Iteration 2: 85 nodes, 43 classes",hydra_opt_1003,,
opt_2743.bwlang,SUCCESS,0.000741012,4.25,False,,"[2026-04-27T18:19:52Z INFO  parabit] Iteration 2: 25 nodes, 10 classes",hydra_opt_2743,,
opt_392.bwlang,SUCCESS,0.001303125,4.25,False,,"[2026-04-27T18:19:52Z INFO  parabit] Iteration 3: 41 nodes, 14 classes",hydra_opt_392,,
opt_1106.bwlang,SUCCESS,0.001412061,4.5,False,,"[2026-04-27T18:19:53Z INFO  parabit] Iteration 2: 121 nodes, 61 classes",hydra_opt_1106,,
opt_252.bwlang,SUCCESS,0.001880219,4.625,False,,"[2026-04-27T18:19:53Z INFO  parabit] Iteration 3: 342 nodes, 127 classes",hydra_opt_252,,
opt_1677.bwlang,SUCCESS,0.001263324,4.375,False,,"[2026-04-27T18:19:53Z INFO  parabit] Iteration 3: 94 nodes, 35 classes",hydra_opt_1677,,
opt_251.bwlang,SUCCESS,0.019048819,9.78125,False,,"[2026-04-27T18:19:54Z INFO  parabit] Iteration 6: 2710 nodes, 621 classes",hydra_opt_251,,
opt_2777.bwlang,SUCCESS,0.00343172,4.953125,False,,"[2026-04-27T18:19:55Z INFO  parabit] Iteration 4: 426 nodes, 171 classes",hydra_opt_2777,,
