file,status,time_taken,max_memory_mb,timed_out,exit_reason,last_err_line,problem_name,verified,theorem_size
move_sel_zero.bwlang,SUCCESS,0.009034909,6.4296875,False,,"[2026-04-27T18:17:11Z INFO  parabit] Iteration 5: 732 nodes, 280 classes",move_sel_zero,,
mul_two.bwlang,SUCCESS,0.0007837,4.125,False,,"[2026-04-27T18:17:11Z INFO  parabit] Iteration 1: 37 nodes, 21 classes",mul_two,,
dist_over_add.bwlang,SUCCESS,0.003214089,4.75,False,,"[2026-04-27T18:17:11Z INFO  parabit] Iteration 3: 473 nodes, 247 classes",dist_over_add,,
mult_sum_same.bwlang,SUCCESS,0.013040836,6.6484375,False,,"[2026-04-27T18:17:12Z INFO  parabit] Iteration 5: 1488 nodes, 590 classes",mult_sum_same,,
add_assoc_4.bwlang,SUCCESS,0.001387102,4.375,False,,"[2026-04-27T18:17:13Z INFO  parabit] Iteration 2: 198 nodes, 101 classes",add_assoc_4,,
add_zero.bwlang,SUCCESS,0.00161626,4.25,False,,"[2026-04-27T18:17:13Z INFO  parabit] Iteration 3: 99 nodes, 26 classes",add_zero,,
commutativity_add.bwlang,SUCCESS,0.00077565,4.375,False,,"[2026-04-27T18:17:13Z INFO  parabit] Iteration 1: 39 nodes, 30 classes",commutativity_add,,
left_shift_add_2.bwlang,SUCCESS,0.003324259,4.75,False,,"[2026-04-27T18:17:13Z INFO  parabit] Iteration 3: 369 nodes, 188 classes",left_shift_add_2,,
add_assoc_3.bwlang,SUCCESS,0.001899695,4.5,False,,"[2026-04-27T18:17:14Z INFO  parabit] Iteration 2: 209 nodes, 114 classes",add_assoc_3,,
sum_same.bwlang,SUCCESS,0.001099699,4.25,False,,"[2026-04-27T18:17:14Z INFO  parabit] Iteration 1: 37 nodes, 24 classes",sum_same,,
merge_left_shift.bwlang,SUCCESS,0.003123605,4.5,False,,"[2026-04-27T18:17:14Z INFO  parabit] Iteration 4: 295 nodes, 135 classes",merge_left_shift,,
left_shift_add_1.bwlang,SUCCESS,0.00313698,4.75,False,,"[2026-04-27T18:17:15Z INFO  parabit] Iteration 3: 394 nodes, 207 classes",left_shift_add_1,,
one_to_two_mult.bwlang,SUCCESS,0.003200707,4.625,False,,"[2026-04-27T18:17:15Z INFO  parabit] Iteration 3: 276 nodes, 88 classes",one_to_two_mult,,
sel_add.bwlang,SUCCESS,0.312503965,74.25390625,False,,"[2026-04-27T18:17:16Z INFO  parabit] Iteration 7: 14359 nodes, 5050 classes",sel_add,,
add_right_shift.bwlang,SUCCESS,0.002046078,4.625,False,,"[2026-04-27T18:17:17Z INFO  parabit] Iteration 3: 245 nodes, 121 classes",add_right_shift,,
mul_one.bwlang,SUCCESS,0.001115449,4.25,False,,"[2026-04-27T18:17:17Z INFO  parabit] Iteration 3: 40 nodes, 15 classes",mul_one,,
sub_to_neg.bwlang,SUCCESS,0.001433131,4.25,False,,"[2026-04-27T18:17:17Z INFO  parabit] Iteration 2: 102 nodes, 59 classes",sub_to_neg,,
mult_assoc_1.bwlang,SUCCESS,0.002355126,4.375,False,,"[2026-04-27T18:17:17Z INFO  parabit] Iteration 3: 211 nodes, 121 classes",mult_assoc_1,,
add_assoc_1.bwlang,SUCCESS,0.001352651,4.25,False,,"[2026-04-27T18:17:18Z INFO  parabit] Iteration 2: 213 nodes, 123 classes",add_assoc_1,,
commutativity_mult.bwlang,SUCCESS,0.000749725,4.125,False,,"[2026-04-27T18:17:18Z INFO  parabit] Iteration 1: 30 nodes, 23 classes",commutativity_mult,,
redundant_sel.bwlang,FAILED,9.36,6379.21875,False,memory,Command terminated by signal 6,redundant_sel_add,,
sel_add_zero.bwlang,SUCCESS,0.396464566,74.25390625,False,,"[2026-04-27T18:17:19Z INFO  parabit] Iteration 7: 14359 nodes, 5050 classes",sel_add_zero,,
mult_assoc_2.bwlang,SUCCESS,0.001716898,4.5,False,,"[2026-04-27T18:17:19Z INFO  parabit] Iteration 3: 180 nodes, 105 classes",mult_assoc_2,,
merge_right_shift.bwlang,SUCCESS,0.002158048,4.375,False,,"[2026-04-27T18:17:19Z INFO  parabit] Iteration 4: 181 nodes, 73 classes",merge_right_shift,,
mult_assoc_3.bwlang,SUCCESS,0.001560333,4.25,False,,"[2026-04-27T18:17:20Z INFO  parabit] Iteration 2: 117 nodes, 71 classes",mult_assoc_3,,
left_shift_mult.bwlang,SUCCESS,0.002025021,4.375,False,,"[2026-04-27T18:17:20Z INFO  parabit] Iteration 3: 178 nodes, 104 classes",left_shift_mult,,
add_assoc_2.bwlang,SUCCESS,0.001389908,4.5,False,,"[2026-04-27T18:17:20Z INFO  parabit] Iteration 2: 202 nodes, 110 classes",add_assoc_2,,
mult_assoc_4.bwlang,SUCCESS,0.001694371,4.25,False,,"[2026-04-27T18:17:20Z INFO  parabit] Iteration 3: 160 nodes, 94 classes",mult_assoc_4,,
