file,status,time_taken,max_memory_mb,timed_out,exit_reason,last_err_line,problem_name,verified,theorem_size
opt_2840.bwlang,SUCCESS,0.0,4.375,False,,[2026-04-27T22:19:41Z INFO  parabit] Reducing size,hydra_opt_2840,True,16
opt_1247.bwlang,SUCCESS,0.0,4.0,False,,[2026-04-27T22:19:41Z INFO  parabit] Reducing size,hydra_opt_1247,True,10
opt_2895.bwlang,SUCCESS,0.0,3.875,False,,[2026-04-27T22:19:41Z INFO  parabit] Reducing size,hydra_opt_2895,True,10
opt_288.bwlang,SUCCESS,0.0,4.5,False,,[2026-04-27T22:19:41Z INFO  parabit] Reducing size,hydra_opt_288,True,20
opt_781.bwlang,FAILED,14.95,6933.859375,False,memory,Command terminated by signal 6,hydra_opt_781,,
opt_1003.bwlang,SUCCESS,0.0,4.375,False,,[2026-04-27T22:19:56Z INFO  parabit] Reducing size,hydra_opt_1003,True,17
opt_2743.bwlang,SUCCESS,0.0,4.125,False,,[2026-04-27T22:19:56Z INFO  parabit] Reducing size,hydra_opt_2743,True,14
opt_392.bwlang,SUCCESS,0.0,4.0,False,,[2026-04-27T22:19:56Z INFO  parabit] Reducing size,hydra_opt_392,True,15
opt_1106.bwlang,SUCCESS,0.0,4.5,False,,[2026-04-27T22:19:56Z INFO  parabit] Reducing size,hydra_opt_1106,True,29
opt_252.bwlang,SUCCESS,0.01,4.625,False,,[2026-04-27T22:19:56Z INFO  parabit] Reducing size,hydra_opt_252,True,29
opt_1677.bwlang,SUCCESS,0.0,4.25,False,,[2026-04-27T22:19:57Z INFO  parabit] Reducing size,hydra_opt_1677,True,22
opt_251.bwlang,SUCCESS,0.06,13.359375,False,,[2026-04-27T22:19:57Z INFO  parabit] Reducing size,hydra_opt_251,True,31
opt_2777.bwlang,SUCCESS,0.0,4.625,False,,[2026-04-27T22:19:57Z INFO  parabit] Reducing size,hydra_opt_2777,True,21
opt_1295.bwlang,SUCCESS,0.0,4.375,False,,[2026-04-27T22:19:57Z INFO  parabit] Reducing size,hydra_opt_1295,True,30
opt_1502.bwlang,FAILED,8.71,6379.3046875,False,memory,Command terminated by signal 6,hydra_opt_1502,,
opt_625.bwlang,SUCCESS,0.0,4.0,False,,[2026-04-27T22:20:06Z INFO  parabit] Reducing size,hydra_opt_625,True,15
opt_2695.bwlang,SUCCESS,0.0,4.25,False,,[2026-04-27T22:20:06Z INFO  parabit] Reducing size,hydra_opt_2695,True,15
opt_2817.bwlang,SUCCESS,0.0,4.25,False,,[2026-04-27T22:20:06Z INFO  parabit] Reducing size,hydra_opt_2817,True,22
opt_2626.bwlang,SUCCESS,0.0,4.125,False,,[2026-04-27T22:20:06Z INFO  parabit] Reducing size,hydra_opt_2626,True,10
opt_30.bwlang,SUCCESS,0.01,5.125,False,,[2026-04-27T22:20:06Z INFO  parabit] Reducing size,hydra_opt_30,True,52
opt_2837.bwlang,SUCCESS,0.0,4.125,False,,[2026-04-27T22:20:06Z INFO  parabit] Reducing size,hydra_opt_2837,True,16
opt_386.bwlang,SUCCESS,0.0,4.25,False,,[2026-04-27T22:20:06Z INFO  parabit] Reducing size,hydra_opt_386,True,21
opt_36.bwlang,SUCCESS,0.0,4.625,False,,[2026-04-27T22:20:06Z INFO  parabit] Reducing size,hydra_opt_36,True,21
opt_1150.bwlang,FAILED,11.36,7009.70703125,False,memory,Command terminated by signal 6,hydra_opt_1150,,
opt_2751.bwlang,SUCCESS,0.0,4.0,False,,[2026-04-27T22:20:18Z INFO  parabit] Reducing size,hydra_opt_2751,True,15
opt_64.bwlang,SUCCESS,0.01,4.875,False,,[2026-04-27T22:20:18Z INFO  parabit] Reducing size,hydra_opt_64,True,32
opt_2784.bwlang,SUCCESS,0.0,4.0,False,,[2026-04-27T22:20:18Z INFO  parabit] Reducing size,hydra_opt_2784,True,24
opt_1097.bwlang,SUCCESS,0.0,4.125,False,,[2026-04-27T22:20:18Z INFO  parabit] Reducing size,hydra_opt_1097,True,18
opt_2791.bwlang,FAILED,98.25,7133.6953125,False,memory,Command terminated by signal 6,hydra_opt_2791,,
opt_2712.bwlang,SUCCESS,0.0,4.25,False,,[2026-04-27T22:21:20Z INFO  parabit] Reducing size,hydra_opt_2712,True,15
opt_2744.bwlang,SUCCESS,0.0,4.125,False,,[2026-04-27T22:21:20Z INFO  parabit] Reducing size,hydra_opt_2744,True,10
opt_256.bwlang,SUCCESS,0.06,15.06640625,False,,[2026-04-27T22:21:20Z INFO  parabit] Reducing size,hydra_opt_256,True,99
opt_2456.bwlang,FAILED,97.54,6955.18359375,False,memory,Command terminated by signal 6,hydra_opt_2456,,
opt_1099.bwlang,FAILED,39.21,5779.8359375,False,memory,Command terminated by signal 6,hydra_opt_1099,,
opt_2825.bwlang,SUCCESS,0.02,7.5859375,False,,[2026-04-27T22:21:59Z INFO  parabit] Reducing size,hydra_opt_2825,True,44
opt_862.bwlang,FAILED,8.49,6886.0078125,False,memory,Command terminated by signal 6,hydra_opt_862,,
opt_310.bwlang,FAILED,16.41,7202.58984375,False,memory,Command terminated by signal 6,hydra_opt_310,,
opt_2438.bwlang,FAILED,0.0,4.5,False,saturation,Command exited with non-zero status 1,hydra_opt_2438,,
opt_1116.bwlang,SUCCESS,0.0,4.125,False,,[2026-04-27T22:22:16Z INFO  parabit] Reducing size,hydra_opt_1116,True,18
opt_2731.bwlang,SUCCESS,0.0,4.0,False,,[2026-04-27T22:22:16Z INFO  parabit] Reducing size,hydra_opt_2731,True,15
opt_2793.bwlang,SUCCESS,0.0,4.125,False,,[2026-04-27T22:22:16Z INFO  parabit] Reducing size,hydra_opt_2793,True,15
opt_1232.bwlang,FAILED,75.77,5976.01953125,False,memory,Command terminated by signal 6,hydra_opt_1232,,
opt_2748.bwlang,SUCCESS,0.01,4.25,False,,[2026-04-27T22:23:32Z INFO  parabit] Reducing size,hydra_opt_2748,True,23
opt_2746.bwlang,SUCCESS,0.0,4.125,False,,[2026-04-27T22:23:32Z INFO  parabit] Reducing size,hydra_opt_2746,True,14
opt_2696.bwlang,FAILED,131.25,6628.828125,False,memory,Command terminated by signal 6,hydra_opt_2696,,
opt_2761.bwlang,SUCCESS,0.0,4.25,False,,[2026-04-27T22:24:16Z INFO  parabit] Reducing size,hydra_opt_2761,True,16
opt_2889.bwlang,SUCCESS,0.0,4.125,False,,[2026-04-27T22:24:16Z INFO  parabit] Reducing size,hydra_opt_2889,True,24
opt_2430.bwlang,SUCCESS,0.0,4.25,False,,[2026-04-27T22:24:16Z INFO  parabit] Reducing size,hydra_opt_2430,True,19
opt_724.bwlang,FAILED,0.04,7.7890625,False,saturation,Command exited with non-zero status 1,hydra_opt_724,,
opt_2778.bwlang,SUCCESS,0.0,4.625,False,,[2026-04-27T22:24:16Z INFO  parabit] Reducing size,hydra_opt_2778,True,18
opt_2750.bwlang,SUCCESS,0.0,3.875,False,,[2026-04-27T22:24:16Z INFO  parabit] Reducing size,hydra_opt_2750,True,15
opt_250.bwlang,SUCCESS,0.08,13.00390625,False,,[2026-04-27T22:24:16Z INFO  parabit] Reducing size,hydra_opt_250,True,31
opt_2816.bwlang,SUCCESS,0.0,4.0,False,,[2026-04-27T22:24:16Z INFO  parabit] Reducing size,hydra_opt_2816,True,10
opt_2806.bwlang,SUCCESS,0.0,4.5,False,,[2026-04-27T22:24:17Z INFO  parabit] Reducing size,hydra_opt_2806,True,23
opt_2862.bwlang,SUCCESS,0.01,5.75,False,,[2026-04-27T22:24:17Z INFO  parabit] Reducing size,hydra_opt_2862,True,26
opt_2852.bwlang,SUCCESS,0.0,4.0,False,,[2026-04-27T22:24:17Z INFO  parabit] Reducing size,hydra_opt_2852,True,15
opt_2789.bwlang,SUCCESS,0.0,4.25,False,,[2026-04-27T22:24:17Z INFO  parabit] Reducing size,hydra_opt_2789,True,16
opt_2763.bwlang,SUCCESS,0.0,4.25,False,,[2026-04-27T22:24:17Z INFO  parabit] Reducing size,hydra_opt_2763,True,15
opt_37.bwlang,SUCCESS,0.0,4.25,False,,[2026-04-27T22:24:17Z INFO  parabit] Reducing size,hydra_opt_37,True,17
opt_2824.bwlang,SUCCESS,0.0,4.125,False,,[2026-04-27T22:24:17Z INFO  parabit] Reducing size,hydra_opt_2824,True,10
opt_2703.bwlang,FAILED,21.13,7266.51953125,False,memory,Command terminated by signal 6,hydra_opt_2703,,
opt_293.bwlang,SUCCESS,0.0,4.875,False,,[2026-04-27T22:24:38Z INFO  parabit] Reducing size,hydra_opt_293,True,31
opt_54.bwlang,SUCCESS,0.02,7.875,False,,[2026-04-27T22:24:39Z INFO  parabit] Reducing size,hydra_opt_54,True,33
opt_263.bwlang,SUCCESS,0.04,10.93359375,False,,[2026-04-27T22:24:39Z INFO  parabit] Reducing size,hydra_opt_263,True,24
opt_57.bwlang,SUCCESS,0.1,17.2109375,False,,[2026-04-27T22:24:39Z INFO  parabit] Reducing size,hydra_opt_57,True,32
opt_2770.bwlang,SUCCESS,0.05,11.51171875,False,,[2026-04-27T22:24:39Z INFO  parabit] Reducing size,hydra_opt_2770,True,51
opt_2873.bwlang,SUCCESS,0.0,4.5,False,,[2026-04-27T22:24:39Z INFO  parabit] Reducing size,hydra_opt_2873,True,21
opt_2801.bwlang,SUCCESS,0.0,4.625,False,,[2026-04-27T22:24:39Z INFO  parabit] Reducing size,hydra_opt_2801,True,18
opt_391.bwlang,SUCCESS,0.07,12.9921875,False,,[2026-04-27T22:24:39Z INFO  parabit] Reducing size,hydra_opt_391,True,29
opt_2846.bwlang,FAILED,142.24,7613.3203125,False,memory,Command terminated by signal 6,hydra_opt_2846,,
