file,status,time_taken,max_memory_mb,timed_out,exit_reason,last_err_line,problem_name,verified,theorem_size
AndOrXor_2429_values_0.bwlang,SUCCESS,0.001187618,4.25,False,,"[2026-04-27T23:12:07Z INFO  parabit] Iteration 2: 169 nodes, 35 classes",AndOrXor_2429_values_0,,
AddSub_1176_values_0.bwlang,SUCCESS,0.001069953,4.375,False,,"[2026-04-27T23:12:07Z INFO  parabit] Iteration 2: 137 nodes, 56 classes",AddSub_1176_values_0,,
AndOrXor_2052_values_0.bwlang,SUCCESS,0.002114887,4.5,False,,"[2026-04-27T23:12:07Z INFO  parabit] Iteration 4: 150 nodes, 54 classes",AndOrXor_2052_values_0,,
Select_1105_values_0.bwlang,SUCCESS,0.000635624,4.125,False,,"[2026-04-27T23:12:07Z INFO  parabit] Iteration 0: 4 nodes, 4 classes",Select_1105_values_0,,
AndOrXor_2367_values_0.bwlang,SUCCESS,0.001026699,4.375,False,,"[2026-04-27T23:12:08Z INFO  parabit] Iteration 2: 75 nodes, 39 classes",AndOrXor_2367_values_0,,
AndOrXor_2118_values_0.bwlang,SUCCESS,0.007273423,6.3359375,False,,"[2026-04-27T23:12:08Z INFO  parabit] Iteration 5: 643 nodes, 76 classes",AndOrXor_2118_values_0,,
AndOrXor_2123_values_0.bwlang,SUCCESS,0.007898179,6.26171875,False,,"[2026-04-27T23:12:08Z INFO  parabit] Iteration 5: 938 nodes, 155 classes",AndOrXor_2123_values_0,,
AndOrXor_2587_values_0.bwlang,SUCCESS,0.008567518,6.23046875,False,,"[2026-04-27T23:12:08Z INFO  parabit] Iteration 5: 963 nodes, 114 classes",AndOrXor_2587_values_0,,
AddSub_1574_values_0.bwlang,SUCCESS,0.002593631,4.75,False,,"[2026-04-27T23:12:08Z INFO  parabit] Iteration 3: 386 nodes, 146 classes",AddSub_1574_values_0,,
AddSub_1619_values_0.bwlang,SUCCESS,0.008016873,6.5859375,False,,"[2026-04-27T23:12:08Z INFO  parabit] Iteration 5: 1379 nodes, 411 classes",AddSub_1619_values_0,,
AndOrXor_2188_values_0.bwlang,SUCCESS,0.009964285,6.2421875,False,,"[2026-04-27T23:12:08Z INFO  parabit] Iteration 4: 846 nodes, 120 classes",AndOrXor_2188_values_0,,
AndOrXor_2243_values_0.bwlang,SUCCESS,0.003520141,4.80078125,False,,"[2026-04-27T23:12:09Z INFO  parabit] Iteration 7: 230 nodes, 71 classes",AndOrXor_2243_values_0,,
AddSub_1202_values_0.bwlang,SUCCESS,0.007157526,5.66015625,False,,"[2026-04-27T23:12:09Z INFO  parabit] Iteration 4: 938 nodes, 207 classes",AddSub_1202_values_0,,
AddSub_1614_values_0.bwlang,SUCCESS,0.098979966,29.83984375,False,,"[2026-04-27T23:12:09Z INFO  parabit] Iteration 7: 12566 nodes, 3071 classes",AddSub_1614_values_0,,
AndOrXor_2486_values_0.bwlang,SUCCESS,0.005232568,5.41015625,False,,"[2026-04-27T23:12:09Z INFO  parabit] Iteration 4: 689 nodes, 189 classes",AndOrXor_2486_values_0,,
AndOrXor_1253_values_0.bwlang,SUCCESS,0.021573352,12.046875,False,,"[2026-04-27T23:12:09Z INFO  parabit] Iteration 6: 3053 nodes, 317 classes",AndOrXor_1253_values_0,,
AndOrXor_2658_values_0.bwlang,SUCCESS,0.009777738,7.1015625,False,,"[2026-04-27T23:12:09Z INFO  parabit] Iteration 4: 1442 nodes, 165 classes",AndOrXor_2658_values_0,,
AndOrXor_1247_values_0.bwlang,SUCCESS,0.002401423,4.375,False,,"[2026-04-27T23:12:09Z INFO  parabit] Iteration 3: 231 nodes, 59 classes",AndOrXor_1247_values_0,,
AndOrXor_1230_values_0.bwlang,SUCCESS,0.001625159,4.5,False,,"[2026-04-27T23:12:10Z INFO  parabit] Iteration 2: 173 nodes, 35 classes",AndOrXor_1230_values_0,,
AndOrXor_2063_values_0.bwlang,SUCCESS,0.022705982,10.67578125,False,,"[2026-04-27T23:12:10Z INFO  parabit] Iteration 7: 4869 nodes, 1104 classes",AndOrXor_2063_values_0,,
