file,status,time_taken,max_memory_mb,timed_out,exit_reason,last_err_line,problem_name,verified,theorem_size
opt_2895.bwlang,SUCCESS,0.000801399,4.125,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 1: 29 nodes, 17 classes",hydra_opt_2895,,
opt_2840.bwlang,SUCCESS,0.001464502,4.375,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 2: 114 nodes, 56 classes",hydra_opt_2840,,
opt_1247.bwlang,SUCCESS,0.000982279,4.125,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 1: 8 nodes, 7 classes",hydra_opt_1247,,
opt_392.bwlang,SUCCESS,0.000895713,4.125,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 3: 41 nodes, 14 classes",hydra_opt_392,,
opt_1003.bwlang,SUCCESS,0.001114538,4.5,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 2: 85 nodes, 43 classes",hydra_opt_1003,,
opt_2743.bwlang,SUCCESS,0.001097908,4.125,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 2: 25 nodes, 10 classes",hydra_opt_2743,,
opt_288.bwlang,SUCCESS,0.002097654,4.5,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 4: 309 nodes, 50 classes",hydra_opt_288,,
opt_1106.bwlang,SUCCESS,0.00122675,4.375,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 2: 121 nodes, 61 classes",hydra_opt_1106,,
opt_1677.bwlang,SUCCESS,0.001283486,4.125,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 3: 94 nodes, 35 classes",hydra_opt_1677,,
opt_252.bwlang,SUCCESS,0.002203366,4.625,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 3: 342 nodes, 127 classes",hydra_opt_252,,
opt_625.bwlang,SUCCESS,0.000929089,4.375,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 2: 37 nodes, 13 classes",hydra_opt_625,,
opt_1295.bwlang,SUCCESS,0.002021423,4.5,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 3: 184 nodes, 28 classes",hydra_opt_1295,,
opt_2695.bwlang,SUCCESS,0.000962692,4.375,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 2: 104 nodes, 59 classes",hydra_opt_2695,,
opt_2817.bwlang,SUCCESS,0.001554372,4.5,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 2: 174 nodes, 71 classes",hydra_opt_2817,,
opt_2777.bwlang,SUCCESS,0.00393666,4.75,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 4: 426 nodes, 171 classes",hydra_opt_2777,,
opt_2626.bwlang,SUCCESS,0.001241347,4.375,False,,"[2026-04-27T23:12:19Z INFO  parabit] Iteration 2: 33 nodes, 13 classes",hydra_opt_2626,,
opt_2837.bwlang,SUCCESS,0.001328959,4.25,False,,"[2026-04-27T23:12:20Z INFO  parabit] Iteration 2: 73 nodes, 37 classes",hydra_opt_2837,,
opt_386.bwlang,SUCCESS,0.001009636,4.375,False,,"[2026-04-27T23:12:20Z INFO  parabit] Iteration 2: 69 nodes, 34 classes",hydra_opt_386,,
opt_30.bwlang,SUCCESS,0.00297639,4.82421875,False,,"[2026-04-27T23:12:20Z INFO  parabit] Iteration 4: 503 nodes, 110 classes",hydra_opt_30,,
opt_36.bwlang,SUCCESS,0.002557668,4.75,False,,"[2026-04-27T23:12:20Z INFO  parabit] Iteration 3: 349 nodes, 140 classes",hydra_opt_36,,
opt_2751.bwlang,SUCCESS,0.001217372,4.5,False,,"[2026-04-27T23:12:20Z INFO  parabit] Iteration 1: 55 nodes, 30 classes",hydra_opt_2751,,
opt_2784.bwlang,SUCCESS,0.00116587,4.25,False,,"[2026-04-27T23:12:20Z INFO  parabit] Iteration 3: 84 nodes, 31 classes",hydra_opt_2784,,
