file,status,time_taken,max_memory_mb,timed_out,exit_reason,last_err_line,problem_name,verified,theorem_size
mul_two.bwlang,SUCCESS,0.000962254,4.125,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 1: 37 nodes, 21 classes",mul_two,,
add_assoc_4.bwlang,SUCCESS,0.001746895,4.375,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 2: 198 nodes, 101 classes",add_assoc_4,,
add_zero.bwlang,SUCCESS,0.00161697,4.25,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 3: 99 nodes, 26 classes",add_zero,,
commutativity_add.bwlang,SUCCESS,0.001008448,4.25,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 1: 39 nodes, 30 classes",commutativity_add,,
sum_same.bwlang,SUCCESS,0.000817517,4.25,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 1: 37 nodes, 24 classes",sum_same,,
add_assoc_3.bwlang,SUCCESS,0.001693323,4.5,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 2: 209 nodes, 114 classes",add_assoc_3,,
dist_over_add.bwlang,SUCCESS,0.004311313,4.625,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 3: 473 nodes, 247 classes",dist_over_add,,
left_shift_add_2.bwlang,SUCCESS,0.003449444,4.5,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 3: 369 nodes, 188 classes",left_shift_add_2,,
merge_left_shift.bwlang,SUCCESS,0.003822983,4.625,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 4: 295 nodes, 135 classes",merge_left_shift,,
one_to_two_mult.bwlang,SUCCESS,0.002857544,4.75,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 3: 276 nodes, 88 classes",one_to_two_mult,,
left_shift_add_1.bwlang,SUCCESS,0.003945738,4.625,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 3: 394 nodes, 207 classes",left_shift_add_1,,
mul_one.bwlang,SUCCESS,0.001358409,4.375,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 3: 40 nodes, 15 classes",mul_one,,
add_right_shift.bwlang,SUCCESS,0.002133267,4.375,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 3: 245 nodes, 121 classes",add_right_shift,,
sub_to_neg.bwlang,SUCCESS,0.001479986,4.375,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 2: 102 nodes, 59 classes",sub_to_neg,,
add_assoc_1.bwlang,SUCCESS,0.001834834,4.5,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 2: 213 nodes, 123 classes",add_assoc_1,,
move_sel_zero.bwlang,SUCCESS,0.011190781,6.48828125,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 5: 732 nodes, 280 classes",move_sel_zero,,
commutativity_mult.bwlang,SUCCESS,0.001094328,4.25,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 1: 30 nodes, 23 classes",commutativity_mult,,
mult_sum_same.bwlang,SUCCESS,0.011190845,6.71484375,False,,"[2026-04-27T23:12:04Z INFO  parabit] Iteration 5: 1488 nodes, 590 classes",mult_sum_same,,
mult_assoc_1.bwlang,SUCCESS,0.00296799,4.5,False,,"[2026-04-27T23:12:05Z INFO  parabit] Iteration 3: 211 nodes, 121 classes",mult_assoc_1,,
mult_assoc_2.bwlang,SUCCESS,0.001744529,4.375,False,,"[2026-04-27T23:12:05Z INFO  parabit] Iteration 3: 180 nodes, 105 classes",mult_assoc_2,,
mult_assoc_3.bwlang,SUCCESS,0.001204868,4.125,False,,"[2026-04-27T23:12:05Z INFO  parabit] Iteration 2: 117 nodes, 71 classes",mult_assoc_3,,
merge_right_shift.bwlang,SUCCESS,0.00230381,4.5,False,,"[2026-04-27T23:12:05Z INFO  parabit] Iteration 4: 181 nodes, 73 classes",merge_right_shift,,
left_shift_mult.bwlang,SUCCESS,0.001943081,4.5,False,,"[2026-04-27T23:12:05Z INFO  parabit] Iteration 3: 178 nodes, 104 classes",left_shift_mult,,
add_assoc_2.bwlang,SUCCESS,0.001827697,4.5,False,,"[2026-04-27T23:12:05Z INFO  parabit] Iteration 2: 202 nodes, 110 classes",add_assoc_2,,
mult_assoc_4.bwlang,SUCCESS,0.002468772,4.375,False,,"[2026-04-27T23:12:05Z INFO  parabit] Iteration 3: 160 nodes, 94 classes",mult_assoc_4,,
sel_add.bwlang,SUCCESS,0.350798384,74.234375,False,,"[2026-04-27T23:12:05Z INFO  parabit] Iteration 7: 14359 nodes, 5050 classes",sel_add,,
sel_add_zero.bwlang,SUCCESS,0.30756116,74.34375,False,,"[2026-04-27T23:12:06Z INFO  parabit] Iteration 7: 14359 nodes, 5050 classes",sel_add_zero,,
redundant_sel.bwlang,FAILED,3.56,1771.1484375,False,memory,Command terminated by signal 6,redundant_sel_add,,
