file,status,time_taken,max_memory_mb,timed_out,exit_reason,last_err_line,problem_name,verified,theorem_size
AndOrXor_2587_values_0.bwlang,SUCCESS,0.03,7.484375,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AndOrXor_2587_values_0,True,65
AndOrXor_2052_values_0.bwlang,SUCCESS,0.01,4.5,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AndOrXor_2052_values_0,True,38
AndOrXor_2118_values_0.bwlang,SUCCESS,0.02,7.0859375,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AndOrXor_2118_values_0,True,62
AndOrXor_2123_values_0.bwlang,SUCCESS,0.03,7.578125,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AndOrXor_2123_values_0,True,75
AndOrXor_2429_values_0.bwlang,SUCCESS,0.0,4.375,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AndOrXor_2429_values_0,True,26
AddSub_1176_values_0.bwlang,SUCCESS,0.0,4.125,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AddSub_1176_values_0,True,19
AddSub_1619_values_0.bwlang,SUCCESS,0.02,7.625,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AddSub_1619_values_0,True,50
AndOrXor_2188_values_0.bwlang,SUCCESS,0.03,8.09765625,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AndOrXor_2188_values_0,True,83
Select_1105_values_0.bwlang,SUCCESS,0.0,4.125,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,Select_1105_values_0,True,10
AndOrXor_2367_values_0.bwlang,SUCCESS,0.0,4.25,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AndOrXor_2367_values_0,True,21
AddSub_1574_values_0.bwlang,SUCCESS,0.0,4.625,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AddSub_1574_values_0,True,22
AddSub_1202_values_0.bwlang,SUCCESS,0.02,6.625,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AddSub_1202_values_0,True,32
AndOrXor_2243_values_0.bwlang,SUCCESS,0.01,4.75,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AndOrXor_2243_values_0,True,60
AndOrXor_2658_values_0.bwlang,SUCCESS,0.04,9.6875,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AndOrXor_2658_values_0,True,119
AndOrXor_2486_values_0.bwlang,SUCCESS,0.01,6.125,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AndOrXor_2486_values_0,True,34
AndOrXor_1253_values_0.bwlang,SUCCESS,0.1,16.7578125,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AndOrXor_1253_values_0,True,329
AndOrXor_135_values_0.bwlang,SUCCESS,0.07,9.87890625,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AndOrXor_135_values_0,True,301
AddSub_1614_values_0.bwlang,SUCCESS,0.28,53.7734375,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AddSub_1614_values_0,True,48
AndOrXor_2284_values_0.bwlang,SUCCESS,0.06,11.35546875,False,,[2026-04-27T23:31:55Z INFO  parabit] Reducing size,AndOrXor_2284_values_0,True,78
