file,status,time_taken,max_memory_mb,timed_out,last_err_line,problem_name,verified,theorem_size
opt_1003.bwlang,SUCCESS,0.000613325,4.42578125,False,"[2026-04-20T10:47:25Z INFO  parabit] Iteration 2: 85 nodes, 43 classes",hydra_opt_1003,,
opt_1097.bwlang,SUCCESS,0.000451133,4.5390625,False,"[2026-04-20T10:47:25Z INFO  parabit] Iteration 2: 32 nodes, 13 classes",hydra_opt_1097,,
opt_1106.bwlang,SUCCESS,0.000726373,4.58203125,False,"[2026-04-20T10:47:25Z INFO  parabit] Iteration 2: 121 nodes, 61 classes",hydra_opt_1106,,
opt_1116.bwlang,SUCCESS,0.000586042,4.5859375,False,"[2026-04-20T10:47:25Z INFO  parabit] Iteration 2: 72 nodes, 39 classes",hydra_opt_1116,,
opt_1150.bwlang,FAILED,23.13,7009.62890625,False,Command terminated by signal 6,hydra_opt_1150,,
opt_1099.bwlang,FAILED,36.94,5779.58203125,False,Command terminated by signal 6,hydra_opt_1099,,
opt_1247.bwlang,SUCCESS,0.000408666,4.42578125,False,"[2026-04-20T10:48:02Z INFO  parabit] Iteration 1: 8 nodes, 7 classes",hydra_opt_1247,,
opt_1295.bwlang,SUCCESS,0.0008453,4.46484375,False,"[2026-04-20T10:48:02Z INFO  parabit] Iteration 3: 184 nodes, 28 classes",hydra_opt_1295,,
opt_1502.bwlang,FAILED,19.09,6379.23828125,False,Command terminated by signal 6,hydra_opt_1502,,
opt_1677.bwlang,SUCCESS,0.000717141,4.734375,False,"[2026-04-20T10:48:21Z INFO  parabit] Iteration 3: 94 nodes, 35 classes",hydra_opt_1677,,
opt_2430.bwlang,SUCCESS,0.000777355,4.81640625,False,"[2026-04-20T10:48:21Z INFO  parabit] Iteration 3: 133 nodes, 35 classes",hydra_opt_2430,,
opt_2438.bwlang,FAILED,0.0,4.421875,False,Command exited with non-zero status 1,hydra_opt_2438,,
opt_1232.bwlang,FAILED,60,5975.8515625,False,Command exited with non-zero status 124,hydra_opt_1232,,
opt_250.bwlang,SUCCESS,0.011146709,10.08984375,False,"[2026-04-20T10:48:53Z INFO  parabit] Iteration 6: 2710 nodes, 621 classes",hydra_opt_250,,
opt_251.bwlang,SUCCESS,0.011237319,10.05078125,False,"[2026-04-20T10:48:55Z INFO  parabit] Iteration 6: 2710 nodes, 621 classes",hydra_opt_251,,
opt_252.bwlang,SUCCESS,0.001083152,4.70703125,False,"[2026-04-20T10:48:55Z INFO  parabit] Iteration 3: 342 nodes, 127 classes",hydra_opt_252,,
opt_256.bwlang,SUCCESS,0.013350753,11.265625,False,"[2026-04-20T10:48:56Z INFO  parabit] Iteration 7: 4584 nodes, 1224 classes",hydra_opt_256,,
opt_2626.bwlang,SUCCESS,0.000452185,4.38671875,False,"[2026-04-20T10:48:56Z INFO  parabit] Iteration 2: 33 nodes, 13 classes",hydra_opt_2626,,
