file,status,time_taken,max_memory_mb,timed_out,last_err_line,problem_name,verified,theorem_size
mul_two.bwlang,SUCCESS,0.001381267,4.375,False,"[2026-03-27T11:46:57Z INFO  parabit] Iteration 1: 37 nodes, 21 classes",mul_two,,
dist_over_add.bwlang,SUCCESS,0.004459686,5.16796875,False,"[2026-03-27T11:46:58Z INFO  parabit] Iteration 3: 473 nodes, 247 classes",dist_over_add,,
move_sel_zero.bwlang,SUCCESS,0.015048446,7.74609375,False,"[2026-03-27T11:46:58Z INFO  parabit] Iteration 5: 732 nodes, 280 classes",move_sel_zero,,
add_assoc_4.bwlang,SUCCESS,0.002685547,4.625,False,"[2026-03-27T11:46:59Z INFO  parabit] Iteration 2: 198 nodes, 101 classes",add_assoc_4,,
add_zero.bwlang,SUCCESS,0.002046868,4.625,False,"[2026-03-27T11:46:59Z INFO  parabit] Iteration 3: 99 nodes, 26 classes",add_zero,,
mult_sum_same.bwlang,SUCCESS,0.016408905,8.41015625,False,"[2026-03-27T11:46:59Z INFO  parabit] Iteration 5: 1488 nodes, 590 classes",mult_sum_same,,
commutativity_add.bwlang,SUCCESS,0.001272154,4.25,False,"[2026-03-27T11:46:59Z INFO  parabit] Iteration 1: 39 nodes, 30 classes",commutativity_add,,
add_assoc_3.bwlang,SUCCESS,0.002754675,4.625,False,"[2026-03-27T11:46:59Z INFO  parabit] Iteration 2: 209 nodes, 114 classes",add_assoc_3,,
left_shift_add_2.bwlang,SUCCESS,0.004262557,4.69921875,False,"[2026-03-27T11:46:59Z INFO  parabit] Iteration 3: 369 nodes, 188 classes",left_shift_add_2,,
sum_same.bwlang,SUCCESS,0.001364342,4.5,False,"[2026-03-27T11:47:00Z INFO  parabit] Iteration 1: 37 nodes, 24 classes",sum_same,,
merge_left_shift.bwlang,SUCCESS,0.004684791,4.59375,False,"[2026-03-27T11:47:00Z INFO  parabit] Iteration 4: 295 nodes, 135 classes",merge_left_shift,,
left_shift_add_1.bwlang,SUCCESS,0.004216081,4.73828125,False,"[2026-03-27T11:47:00Z INFO  parabit] Iteration 3: 394 nodes, 207 classes",left_shift_add_1,,
one_to_two_mult.bwlang,SUCCESS,0.006805921,5.2421875,False,"[2026-03-27T11:47:01Z INFO  parabit] Iteration 3: 276 nodes, 88 classes",one_to_two_mult,,
add_right_shift.bwlang,SUCCESS,0.005408236,5.0,False,"[2026-03-27T11:47:01Z INFO  parabit] Iteration 3: 245 nodes, 121 classes",add_right_shift,,
sel_add.bwlang,SUCCESS,0.615808281,128.8671875,False,"[2026-03-27T11:47:01Z INFO  parabit] Iteration 7: 14359 nodes, 5050 classes",sel_add,,
mul_one.bwlang,SUCCESS,0.00179491,4.375,False,"[2026-03-27T11:47:01Z INFO  parabit] Iteration 3: 40 nodes, 15 classes",mul_one,,
sub_to_neg.bwlang,SUCCESS,0.002051291,4.25,False,"[2026-03-27T11:47:02Z INFO  parabit] Iteration 2: 102 nodes, 59 classes",sub_to_neg,,
mult_assoc_1.bwlang,SUCCESS,0.00285688,4.375,False,"[2026-03-27T11:47:02Z INFO  parabit] Iteration 3: 211 nodes, 121 classes",mult_assoc_1,,
commutativity_mult.bwlang,SUCCESS,0.001604415,4.0,False,"[2026-03-27T11:47:02Z INFO  parabit] Iteration 1: 30 nodes, 23 classes",commutativity_mult,,
add_assoc_1.bwlang,SUCCESS,0.002534654,4.625,False,"[2026-03-27T11:47:02Z INFO  parabit] Iteration 2: 213 nodes, 123 classes",add_assoc_1,,
merge_right_shift.bwlang,SUCCESS,0.003649066,4.60546875,False,"[2026-03-27T11:47:02Z INFO  parabit] Iteration 4: 181 nodes, 73 classes",merge_right_shift,,
mult_assoc_2.bwlang,SUCCESS,0.002844321,4.375,False,"[2026-03-27T11:47:03Z INFO  parabit] Iteration 3: 180 nodes, 105 classes",mult_assoc_2,,
mult_assoc_3.bwlang,SUCCESS,0.002321992,4.25,False,"[2026-03-27T11:47:03Z INFO  parabit] Iteration 2: 117 nodes, 71 classes",mult_assoc_3,,
sel_add_zero.bwlang,SUCCESS,0.563795017,128.84375,False,"[2026-03-27T11:47:03Z INFO  parabit] Iteration 7: 14359 nodes, 5050 classes",sel_add_zero,,
left_shift_mult.bwlang,SUCCESS,0.002482286,4.375,False,"[2026-03-27T11:47:03Z INFO  parabit] Iteration 3: 178 nodes, 104 classes",left_shift_mult,,
add_assoc_2.bwlang,SUCCESS,0.002498871,4.625,False,"[2026-03-27T11:47:03Z INFO  parabit] Iteration 2: 202 nodes, 110 classes",add_assoc_2,,
mult_assoc_4.bwlang,SUCCESS,0.002711459,4.5,False,"[2026-03-27T11:47:04Z INFO  parabit] Iteration 3: 160 nodes, 94 classes",mult_assoc_4,,
redundant_sel.bwlang,FAILED,9.0,6379.03125,False,Command terminated by signal 6,redundant_sel_add,,
