file,status,time_taken,max_memory_mb,timed_out,last_err_line,problem_name,verified,theorem_size
AndOrXor_2587_values_0.bwlang,SUCCESS,0.02,7.48828125,False,[2026-04-16T11:40:38Z INFO  parabit] Reducing size,AndOrXor_2587_values_0,True,65
AndOrXor_2052_values_0.bwlang,SUCCESS,0.01,4.5,False,[2026-04-16T11:40:38Z INFO  parabit] Reducing size,AndOrXor_2052_values_0,True,38
AndOrXor_2118_values_0.bwlang,SUCCESS,0.03,7.3359375,False,[2026-04-16T11:40:38Z INFO  parabit] Reducing size,AndOrXor_2118_values_0,True,62
AndOrXor_2123_values_0.bwlang,SUCCESS,0.05,7.5859375,False,[2026-04-16T11:40:38Z INFO  parabit] Reducing size,AndOrXor_2123_values_0,True,75
AndOrXor_2429_values_0.bwlang,SUCCESS,0.01,4.375,False,[2026-04-16T11:40:38Z INFO  parabit] Reducing size,AndOrXor_2429_values_0,True,26
AddSub_1176_values_0.bwlang,SUCCESS,0.0,4.25,False,[2026-04-16T11:40:38Z INFO  parabit] Reducing size,AddSub_1176_values_0,True,19
AddSub_1619_values_0.bwlang,SUCCESS,0.02,7.875,False,[2026-04-16T11:40:39Z INFO  parabit] Reducing size,AddSub_1619_values_0,True,50
AndOrXor_2188_values_0.bwlang,SUCCESS,0.03,8.10546875,False,[2026-04-16T11:40:39Z INFO  parabit] Reducing size,AndOrXor_2188_values_0,True,83
Select_1105_values_0.bwlang,SUCCESS,0.0,4.0,False,[2026-04-16T11:40:39Z INFO  parabit] Reducing size,Select_1105_values_0,True,10
AndOrXor_2367_values_0.bwlang,SUCCESS,0.0,4.25,False,[2026-04-16T11:40:39Z INFO  parabit] Reducing size,AndOrXor_2367_values_0,True,21
AddSub_1614_values_0.bwlang,SUCCESS,0.29,53.93359375,False,[2026-04-16T11:40:39Z INFO  parabit] Reducing size,AddSub_1614_values_0,True,48
AddSub_1574_values_0.bwlang,SUCCESS,0.01,4.5,False,[2026-04-16T11:40:39Z INFO  parabit] Reducing size,AddSub_1574_values_0,True,22
AddSub_1202_values_0.bwlang,SUCCESS,0.02,6.75,False,[2026-04-16T11:40:39Z INFO  parabit] Reducing size,AddSub_1202_values_0,True,32
AndOrXor_1253_values_0.bwlang,SUCCESS,0.15,16.63671875,False,[2026-04-16T11:40:40Z INFO  parabit] Reducing size,AndOrXor_1253_values_0,True,329
AndOrXor_2243_values_0.bwlang,SUCCESS,0.01,4.875,False,[2026-04-16T11:40:40Z INFO  parabit] Reducing size,AndOrXor_2243_values_0,True,60
AndOrXor_2658_values_0.bwlang,SUCCESS,0.05,9.56640625,False,[2026-04-16T11:40:40Z INFO  parabit] Reducing size,AndOrXor_2658_values_0,True,119
AndOrXor_2486_values_0.bwlang,SUCCESS,0.02,6.125,False,[2026-04-16T11:40:40Z INFO  parabit] Reducing size,AndOrXor_2486_values_0,True,34
AndOrXor_2063_values_0.bwlang,SUCCESS,0.1,14.75,False,[2026-04-16T11:40:40Z INFO  parabit] Reducing size,AndOrXor_2063_values_0,True,167
AndOrXor_135_values_0.bwlang,SUCCESS,0.07,9.7578125,False,[2026-04-16T11:40:40Z INFO  parabit] Reducing size,AndOrXor_135_values_0,True,301
muldivrem_239_values_0.bwlang,SUCCESS,11.29,1020.703125,False,[2026-04-16T11:40:49Z INFO  parabit] Reducing size,muldivrem_239_values_0,True,69
AndOrXor_2284_values_0.bwlang,SUCCESS,0.05,11.35546875,False,[2026-04-16T11:40:50Z INFO  parabit] Reducing size,AndOrXor_2284_values_0,True,78
AndOrXor_1247_values_0.bwlang,SUCCESS,0.01,4.75,False,[2026-04-16T11:40:50Z INFO  parabit] Reducing size,AndOrXor_1247_values_0,True,26
AndOrXor_2581_values_0.bwlang,SUCCESS,0.02,5.75,False,[2026-04-16T11:40:50Z INFO  parabit] Reducing size,AndOrXor_2581_values_0,True,61
AndOrXor_1230_values_0.bwlang,SUCCESS,0.0,4.5,False,[2026-04-16T11:40:50Z INFO  parabit] Reducing size,AndOrXor_1230_values_0,True,26
AndOrXor_2627_values_0.bwlang,FAILED,12.29,6547.859375,False,Command terminated by signal 6,AndOrXor_2627_values_0,True,
AddSub_1564_values_0.bwlang,SUCCESS,0.01,6.25,False,[2026-04-16T11:40:51Z INFO  parabit] Reducing size,AddSub_1564_values_0,True,30
AndOrXor_1294_values_0.bwlang,SUCCESS,0.36,31.609375,False,[2026-04-16T11:40:51Z INFO  parabit] Reducing size,AndOrXor_1294_values_0,True,960
AndOrXor_2263_values_0.bwlang,SUCCESS,0.15,17.68359375,False,[2026-04-16T11:40:51Z INFO  parabit] Reducing size,AndOrXor_2263_values_0,True,670
AndOrXor_2617_values_0.bwlang,SUCCESS,0.29,29.08203125,False,[2026-04-16T11:40:51Z INFO  parabit] Reducing size,AndOrXor_2617_values_0,True,702
AddSub_1043_values_0.bwlang,SUCCESS,0.58,63.0390625,False,[2026-04-16T11:40:52Z INFO  parabit] Reducing size,AddSub_1043_values_0,True,657
AndOrXor_2416_values_0.bwlang,SUCCESS,0.0,4.5,False,[2026-04-16T11:40:52Z INFO  parabit] Reducing size,AndOrXor_2416_values_0,True,27
muldivrem_152_values_0.bwlang,SUCCESS,0.0,4.375,False,[2026-04-16T11:40:52Z INFO  parabit] Reducing size,muldivrem_152_values_0,True,19
AndOrXor_1346a_values_0.bwlang,FAILED,62.64,6952.41015625,False,Command terminated by signal 6,AndOrXor_1346a_values_0,True,
AndOrXor_2247_values_0.bwlang,SUCCESS,0.01,4.25,False,[2026-04-16T11:41:43Z INFO  parabit] Reducing size,AndOrXor_2247_values_0,True,26
AddSub_1624_values_0.bwlang,SUCCESS,0.13,21.8359375,False,[2026-04-16T11:41:43Z INFO  parabit] Reducing size,AddSub_1624_values_0,True,42
AndOrXor_2417_values_0.bwlang,SUCCESS,0.0,4.375,False,[2026-04-16T11:41:43Z INFO  parabit] Reducing size,AndOrXor_2417_values_0,True,27
Select_1100_values_0.bwlang,SUCCESS,0.0,4.0,False,[2026-04-16T11:41:43Z INFO  parabit] Reducing size,Select_1100_values_0,True,10
AddSub_1165_values_0.bwlang,SUCCESS,0.01,5.0,False,[2026-04-16T11:41:44Z INFO  parabit] Reducing size,AddSub_1165_values_0,True,29
AndOrXor_2430_values_0.bwlang,SUCCESS,0.01,4.375,False,[2026-04-16T11:41:44Z INFO  parabit] Reducing size,AndOrXor_2430_values_0,True,26
AndOrXor_1388_values_0.bwlang,FAILED,1.64,739.04296875,False,Command exited with non-zero status 101,AndOrXor_1388_values_0,True,
AndOrXor_2285_values_0.bwlang,FAILED,69.28,8189.0625,False,Command terminated by signal 6,AndOrXor_2285_values_0,True,
AndOrXor_1241_values_0.bwlang,SUCCESS,0.01,4.875,False,[2026-04-16T11:42:02Z INFO  parabit] Reducing size,AndOrXor_1241_values_0,True,29
AddSub_1098_values_0.bwlang,FAILED,16.18,7261.37890625,False,Command terminated by signal 6,AddSub_1098_values_0,True,
