file,status,time_taken,max_memory_mb,timed_out,last_err_line,problem_name,verified,theorem_size
move_sel_zero.bwlang,SUCCESS,0.02,7.375,False,[2026-04-16T11:39:44Z INFO  parabit] Reducing size,move_sel_zero,True,30
mul_two.bwlang,SUCCESS,0.0,4.0,False,[2026-04-16T11:39:44Z INFO  parabit] Reducing size,mul_two,True,16
dist_over_add.bwlang,SUCCESS,0.01,4.75,False,[2026-04-16T11:39:44Z INFO  parabit] Reducing size,dist_over_add,True,18
mult_sum_same.bwlang,SUCCESS,0.02,8.0,False,[2026-04-16T11:39:44Z INFO  parabit] Reducing size,mult_sum_same,True,22
add_assoc_4.bwlang,SUCCESS,0.0,4.375,False,[2026-04-16T11:39:44Z INFO  parabit] Reducing size,add_assoc_4,True,15
add_zero.bwlang,SUCCESS,0.0,4.125,False,[2026-04-16T11:39:44Z INFO  parabit] Reducing size,add_zero,True,16
commutativity_add.bwlang,SUCCESS,0.0,4.25,False,[2026-04-16T11:39:44Z INFO  parabit] Reducing size,commutativity_add,True,10
left_shift_add_2.bwlang,SUCCESS,0.01,4.875,False,[2026-04-16T11:39:44Z INFO  parabit] Reducing size,left_shift_add_2,True,24
add_assoc_3.bwlang,SUCCESS,0.01,4.375,False,[2026-04-16T11:39:44Z INFO  parabit] Reducing size,add_assoc_3,True,15
sum_same.bwlang,SUCCESS,0.0,4.125,False,[2026-04-16T11:39:44Z INFO  parabit] Reducing size,sum_same,True,14
merge_left_shift.bwlang,SUCCESS,0.01,4.625,False,[2026-04-16T11:39:44Z INFO  parabit] Reducing size,merge_left_shift,True,19
left_shift_add_1.bwlang,SUCCESS,0.01,4.625,False,[2026-04-16T11:39:44Z INFO  parabit] Reducing size,left_shift_add_1,True,22
one_to_two_mult.bwlang,SUCCESS,0.01,4.875,False,[2026-04-16T11:39:44Z INFO  parabit] Reducing size,one_to_two_mult,True,39
add_right_shift.bwlang,SUCCESS,0.01,4.75,False,[2026-04-16T11:39:45Z INFO  parabit] Reducing size,add_right_shift,True,58
mul_one.bwlang,SUCCESS,0.0,4.125,False,[2026-04-16T11:39:45Z INFO  parabit] Reducing size,mul_one,True,16
sub_to_neg.bwlang,SUCCESS,0.0,4.25,False,[2026-04-16T11:39:45Z INFO  parabit] Reducing size,sub_to_neg,True,17
mult_assoc_1.bwlang,SUCCESS,0.01,4.25,False,[2026-04-16T11:39:45Z INFO  parabit] Reducing size,mult_assoc_1,True,17
add_assoc_1.bwlang,SUCCESS,0.0,4.375,False,[2026-04-16T11:39:45Z INFO  parabit] Reducing size,add_assoc_1,True,15
commutativity_mult.bwlang,SUCCESS,0.0,4.125,False,[2026-04-16T11:39:45Z INFO  parabit] Reducing size,commutativity_mult,True,10
sel_add.bwlang,SUCCESS,1.05,127.22265625,False,[2026-04-16T11:39:45Z INFO  parabit] Reducing size,sel_add,True,53
merge_right_shift.bwlang,SUCCESS,0.0,4.375,False,[2026-04-16T11:39:46Z INFO  parabit] Reducing size,merge_right_shift,True,21
mult_assoc_2.bwlang,SUCCESS,0.0,4.25,False,[2026-04-16T11:39:46Z INFO  parabit] Reducing size,mult_assoc_2,True,19
mult_assoc_3.bwlang,SUCCESS,0.0,4.25,False,[2026-04-16T11:39:46Z INFO  parabit] Reducing size,mult_assoc_3,True,15
left_shift_mult.bwlang,SUCCESS,0.0,4.375,False,[2026-04-16T11:39:46Z INFO  parabit] Reducing size,left_shift_mult,True,19
sel_add_zero.bwlang,SUCCESS,0.77,127.3515625,False,[2026-04-16T11:39:46Z INFO  parabit] Reducing size,sel_add_zero,True,53
add_assoc_2.bwlang,SUCCESS,0.0,4.25,False,[2026-04-16T11:39:46Z INFO  parabit] Reducing size,add_assoc_2,True,15
mult_assoc_4.bwlang,SUCCESS,0.0,4.5,False,[2026-04-16T11:39:46Z INFO  parabit] Reducing size,mult_assoc_4,True,19
redundant_sel.bwlang,FAILED,9.64,6379.19921875,False,Command terminated by signal 6,redundant_sel_add,True,
