file,status,time_taken,max_memory_mb,timed_out,last_err_line,problem_name,verified,theorem_size
AndOrXor_2587_values_0.bwlang,SUCCESS,0.04,7.6171875,False,[2026-04-15T16:16:03Z INFO  parabit] Reducing size,AndOrXor_2587_values_0,True,65
AndOrXor_2052_values_0.bwlang,SUCCESS,0.01,4.5,False,[2026-04-15T16:16:03Z INFO  parabit] Reducing size,AndOrXor_2052_values_0,True,38
AndOrXor_2118_values_0.bwlang,SUCCESS,0.03,7.3359375,False,[2026-04-15T16:16:03Z INFO  parabit] Reducing size,AndOrXor_2118_values_0,True,62
AndOrXor_2123_values_0.bwlang,SUCCESS,0.05,7.703125,False,[2026-04-15T16:16:03Z INFO  parabit] Reducing size,AndOrXor_2123_values_0,True,75
AndOrXor_2429_values_0.bwlang,SUCCESS,0.01,4.375,False,[2026-04-15T16:16:03Z INFO  parabit] Reducing size,AndOrXor_2429_values_0,True,26
AddSub_1176_values_0.bwlang,SUCCESS,0.0,4.375,False,[2026-04-15T16:16:03Z INFO  parabit] Reducing size,AddSub_1176_values_0,True,19
AddSub_1619_values_0.bwlang,SUCCESS,0.03,7.875,False,[2026-04-15T16:16:03Z INFO  parabit] Reducing size,AddSub_1619_values_0,True,50
AndOrXor_2188_values_0.bwlang,SUCCESS,0.03,7.98046875,False,[2026-04-15T16:16:03Z INFO  parabit] Reducing size,AndOrXor_2188_values_0,True,83
Select_1105_values_0.bwlang,SUCCESS,0.0,4.125,False,[2026-04-15T16:16:03Z INFO  parabit] Reducing size,Select_1105_values_0,True,10
AndOrXor_2367_values_0.bwlang,SUCCESS,0.0,4.125,False,[2026-04-15T16:16:04Z INFO  parabit] Reducing size,AndOrXor_2367_values_0,True,21
AddSub_1614_values_0.bwlang,SUCCESS,0.3,54.046875,False,[2026-04-15T16:16:04Z INFO  parabit] Reducing size,AddSub_1614_values_0,True,48
AddSub_1574_values_0.bwlang,SUCCESS,0.01,4.625,False,[2026-04-15T16:16:04Z INFO  parabit] Reducing size,AddSub_1574_values_0,True,22
AddSub_1202_values_0.bwlang,SUCCESS,0.02,6.5,False,[2026-04-15T16:16:04Z INFO  parabit] Reducing size,AddSub_1202_values_0,True,32
AndOrXor_1253_values_0.bwlang,SUCCESS,0.12,16.6328125,False,[2026-04-15T16:16:04Z INFO  parabit] Reducing size,AndOrXor_1253_values_0,True,329
AndOrXor_2243_values_0.bwlang,SUCCESS,0.01,4.75,False,[2026-04-15T16:16:05Z INFO  parabit] Reducing size,AndOrXor_2243_values_0,True,60
AndOrXor_2658_values_0.bwlang,SUCCESS,0.06,9.6875,False,[2026-04-15T16:16:05Z INFO  parabit] Reducing size,AndOrXor_2658_values_0,True,119
AndOrXor_2486_values_0.bwlang,SUCCESS,0.02,6.125,False,[2026-04-15T16:16:05Z INFO  parabit] Reducing size,AndOrXor_2486_values_0,True,34
AndOrXor_2063_values_0.bwlang,SUCCESS,0.12,14.95703125,False,[2026-04-15T16:16:05Z INFO  parabit] Reducing size,AndOrXor_2063_values_0,True,167
